Add-AzureADApplicationOwner,New-MgApplicationOwnerByRef
Add-AzureADDeviceRegisteredOwner,New-MgDeviceRegisteredOwnerByRef
Add-AzureADDeviceRegisteredUser,New-MgDeviceRegisteredUserByRef
Add-AzureADDirectoryRoleMember,New-MgDirectoryRoleMemberByRef
Add-AzureADGroupMember,New-MgGroupMember
Add-AzureADGroupOwner,New-MgGroupOwnerByRef
Add-AzureADMSAdministrativeUnitMember,New-MgDirectoryAdministrativeUnitMemberByRef
Add-AzureADMSApplicationOwner,New-MgApplicationOwnerByRef
Add-AzureADMSLifecyclePolicyGroup,Add-MgGroupToLifecyclePolicy
Add-AzureADMSScopedRoleMembership,New-MgDirectoryRoleScopedMember
Add-AzureADMSServicePrincipalDelegatedPermissionClassification,New-MgServicePrincipalDelegatedPermissionClassification
Add-AzureADServicePrincipalOwner,New-MgServicePrincipalOwnerByRef
Confirm-AzureADDomain,Confirm-MgDomain
Connect-AzureAD,Connect-MgGraph
Disconnect-AzureAD,Disconnect-MgGraph
Enable-AzureADDirectoryRole,New-MgDirectoryRole -RoleTemplateId
Get-AzureADApplication,Get-MgApplication
Get-AzureADApplicationExtensionProperty,Get-MgApplicationExtensionProperty
Get-AzureADApplicationKeyCredential,N/A
Get-AzureADApplicationLogo,Get-MgApplicationLogo
Get-AzureADApplicationOwner,Get-MgApplicationOwner
Get-AzureADApplicationPasswordCredential,N/A
Get-AzureADApplicationProxyApplication,N/A
Get-AzureADApplicationProxyApplicationConnectorGroup,MISSING
Get-AzureADApplicationProxyConnector,MISSING
Get-AzureADApplicationProxyConnectorGroup,MISSING
Get-AzureADApplicationProxyConnectorGroupMember,MISSING
Get-AzureADApplicationProxyConnectorMemberOf,MISSING
Get-AzureADApplicationServiceEndpoint,MISSING
Get-AzureADContact,Get-MgContact
Get-AzureADContactDirectReport,Get-MgContactDirectReport
Get-AzureADContactManager,Get-MgContactManager
Get-AzureADContactMembership,Get-MgContactMemberOf
Get-AzureADContactThumbnailPhoto,MISSING
Get-AzureADContract,Get-MgContract
Get-AzureADCurrentSessionInfo,Get-MgContext
Get-AzureADDeletedApplication,Get-MgDirectoryDeletedItem
Get-AzureADDevice,Get-MgDevice
Get-AzureADDeviceConfiguration,Get-MgDeviceManagementDeviceConfiguration
Get-AzureADDeviceRegisteredOwner,Get-MgDeviceRegisteredOwner
Get-AzureADDeviceRegisteredUser,Get-MgDeviceRegisteredUser
Get-AzureADDirectoryRole,Get-MgDirectoryRole
Get-AzureADDirectoryRoleMember,Get-MgDirectoryRoleMember
Get-AzureADDirectoryRoleTemplate,Get-MgDirectoryRoleTemplate
Get-AzureADDomain,Get-MgDomain
Get-AzureADDomainNameReference,Get-MgDomainNameerenceByRef
Get-AzureADDomainServiceConfigurationRecord,Get-MgDomainServiceConfigurationRecord
Get-AzureADDomainVerificationDnsRecord,Get-MgDomainVerificationDnsRecord
Get-AzureADExtensionProperty,Get-MgDirectoryObjectAvailableExtensionProperty
Get-AzureADGroup,Get-MgGroup
Get-AzureADGroupAppRoleAssignment,Get-MgGroupAppRoleAssignment
Get-AzureADGroupMember,Get-MgGroupMember
Get-AzureADGroupOwner,Get-MgGroupOwner
Get-AzureADMSAdministrativeUnit,Get-MgDirectoryAdministrativeUnit
Get-AzureADMSAdministrativeUnitMember,Get-MgDirectoryAdministrativeUnitMember
Get-AzureADMSApplication,Get-MgApplication
Get-AzureADMSApplicationExtensionProperty,Get-MgApplicationExtensionProperty
Get-AzureADMSApplicationOwner,Get-MgApplicationOwner
Get-AzureADMSConditionalAccessPolicy,Get-MgIdentityConditionalAccessPolicy
Get-AzureADMSDeletedDirectoryObject,Get-MgDirectoryDeletedItem
Get-AzureADMSDeletedGroup,Get-MgDirectoryDeletedItem
Get-AzureADMSGroup,Get-MgGroup
Get-AzureADMSGroupLifecyclePolicy,Get-MgGroupLifecyclePolicy
Get-AzureADMSGroupPermissionGrant,Get-MgGroupPermissionGrant
Get-AzureADMSIdentityProvider,Get-MgIdentityProvider
Get-AzureADMSLifecyclePolicyGroup,MISSING
Get-AzureADMSNamedLocationPolicy,Get-MgIdentityConditionalAccessNamedLocation
Get-AzureADMSPermissionGrantConditionSet,Get-MgPolicyPermissionGrantPolicyInclude and Get-MgPolicyPermissionGrantPolicyExclude
Get-AzureADMSPermissionGrantPolicy,Get-MgPolicyPermissionGrantPolicy
Get-AzureADMSScopedRoleMembership,Get-MgUserScopedRoleMemberOf
Get-AzureADMSServicePrincipalDelegatedPermissionClassification,Get-MgServicePrincipalDelegatedPermissionClassification
Get-AzureADOAuth2PermissionGrant,Get-MgOauth2PermissionGrant
Get-AzureADObjectByObjectId,Get-MgDirectoryObjectById
Get-AzureADServiceAppRoleAssignedTo,Get-MgServicePrincipalAppRoleAssignedTo
Get-AzureADServiceAppRoleAssignment,Get-MgServicePrincipalAppRoleAssignment
Get-AzureADServicePrincipal,Get-MgServicePrincipal
Get-AzureADServicePrincipalCreatedObject,Get-MgServicePrincipalCreatedObject
Get-AzureADServicePrincipalKeyCredential,MISSING
Get-AzureADServicePrincipalMembership,Get-MgServicePrincipalTransitiveMemberOf
Get-AzureADServicePrincipalOAuth2PermissionGrant,Get-MgServicePrincipalOauth2PermissionGrant
Get-AzureADServicePrincipalOwnedObject,Get-MgServicePrincipalOwnedObject
Get-AzureADServicePrincipalOwner,Get-MgServicePrincipalOwner
Get-AzureADServicePrincipalPasswordCredential,MISSING
Get-AzureADSubscribedSku,Get-MgSubscribedSku
Get-AzureADTenantDetail,Get-MgOrganization
Get-AzureADTrustedCertificateAuthority,MISSING
Get-AzureADUser,Get-MgUser
Get-AzureADUserAppRoleAssignment,Get-MgUserAppRoleAssignment
Get-AzureADUserCreatedObject,Get-MgUserCreatedObject
Get-AzureADUserDirectReport,Get-MgUserDirectReport
Get-AzureADUserExtension,Get-MgUserExtension
Get-AzureADUserLicenseDetail,Get-MgUserLicenseDetail
Get-AzureADUserManager,Get-MgUserManager
Get-AzureADUserMembership,Get-MgUserMemberOf
Get-AzureADUserOAuth2PermissionGrant,Get-MgUserOauth2PermissionGrant
Get-AzureADUserOwnedDevice,Get-MgUserOwnedDevice
Get-AzureADUserOwnedObject,Get-MgUserOwnedObject
Get-AzureADUserRegisteredDevice,Get-MgUserRegisteredDevice
Get-AzureADUserThumbnailPhoto,Get-MgUserPhoto
Get-CrossCloudVerificationCode,MISSING
New-AzureADApplication,New-MgApplication
New-AzureADApplicationExtensionProperty,New-MgApplicationExtensionProperty
New-AzureADApplicationKeyCredential,Add-MgApplicationKey
New-AzureADApplicationPasswordCredential,Add-MgApplicationPassword
New-AzureADApplicationProxyApplication,MISSING
New-AzureADApplicationProxyConnectorGroup,MISSING
New-AzureADDevice,New-MgDevice
New-AzureADDomain,New-MgDomain
New-AzureADGroup,New-MgGroup
New-AzureADGroupAppRoleAssignment,New-MgGroupAppRoleAssignment
New-AzureADMSAdministrativeUnit,New-MgDirectoryAdministrativeUnit
New-AzureADMSApplication,New-MgApplication
New-AzureADMSApplicationExtensionProperty,New-MgApplicationExtensionProperty
New-AzureADMSApplicationKey,Add-MgApplicationKey
New-AzureADMSApplicationPassword,Add-MgApplicationPassword
New-AzureADMSConditionalAccessPolicy,New-MgIdentityConditionalAccessPolicy
New-AzureADMSGroup,New-MgGroup
New-AzureADMSGroupLifecyclePolicy,New-MgGroupLifecyclePolicy
New-AzureADMSIdentityProvider,New-MgIdentityProvider
New-AzureADMSInvitation,New-MgInvitation
New-AzureADMSNamedLocationPolicy,New-MgIdentityConditionalAccessNamedLocation
New-AzureADMSPermissionGrantConditionSet,New-MgPolicyPermissionGrantPolicyInclude and New-MgPolicyPermissionGrantPolicyExclude
New-AzureADMSPermissionGrantPolicy,New-MgPolicyPermissionGrantPolicy
New-AzureADServiceAppRoleAssignment,New-MgServicePrincipalAppRoleAssignment
New-AzureADServicePrincipal,New-MgServicePrincipal
